episode,total_reward,loss,ndcg@5,slate_mrr,click_rate,epsilon
0,1657.601880788803,0.0,0.0,0.0,1.0,0.1992313712835312
1,2291.766607761383,0.04815887434343839,0.0,0.019999999552965164,1.0,0.19846569001674652
2,2164.791217327118,0.042329090926796195,0.019999999552965164,0.019999999552965164,1.0,0.19770294427871704
3,2014.5595128536224,0.040477990829385815,0.0,0.0,1.0,0.19694313406944275
4,1654.7486505508423,0.03424651780631393,0.0,0.0,1.0,0.19618622958660126
5,2175.435295343399,0.027824127762578428,0.0,0.0,0.9,0.19543223083019257
6,1823.3252365589142,0.03887535890098661,0.0,0.0,1.0,0.19468121230602264
7,2061.607885837555,0.038386276932433246,0.0,0.0,0.9,0.19393308460712433
8,1630.3668423891068,0.03324493050109595,0.0,0.0,1.0,0.19318783283233643
9,2187.15390253067,0.03032477541361004,0.0,0.0,1.0,0.19244544208049774
10,2119.6159052848816,0.03746579078491777,0.0,0.019999999552965164,1.0,0.19170589745044708
11,1790.4891753196716,0.03363832022063434,0.0,0.0,1.0,0.19096919894218445
12,1773.3121190071106,0.033942966680042444,0.0,0.0,1.0,0.19023533165454865
13,1906.3019676208496,0.035358847239986065,0.0,0.0,0.9,0.18950428068637848
14,2528.9558720588684,0.03599162236321717,0.0,0.019999999552965164,0.9,0.18877603113651276
15,2010.3078265190125,0.0303755641868338,0.0,0.1599999964237213,1.0,0.18805056810379028
16,1892.3537933826447,0.0351072017615661,0.0,0.0,0.9,0.18732787668704987
17,2540.7727262973785,0.03375013061799109,0.0,0.0,1.0,0.1866079419851303
18,2353.880684375763,0.032200140999630096,0.0,0.0,1.0,0.18589076399803162
19,2930.4644088745117,0.03793891626875848,0.0,0.14000000059604645,1.0,0.1851763129234314
20,2194.3847241401672,0.03393983988557011,0.0,0.0,1.0,0.18446458876132965
21,1649.0567994117737,0.02907094336580485,0.0,0.0,0.9,0.18375557661056519
22,1230.5719856023788,0.031019824696704744,0.0,0.20000000298023224,1.0,0.1830492615699768
23,2133.395308494568,0.03565207666251809,0.0,0.0,1.0,0.1823459267616272
24,1679.7863969802856,0.030227338406257333,0.0,0.0024999999441206455,0.9,0.1816452592611313
25,1068.1361939907074,0.0,0.019999999552965164,0.019999999552965164,0.9,0.18094725906848907
26,2391.720869541168,0.026329559826388443,0.0,0.0,0.9,0.18025191128253937
27,1901.1598122119904,0.030715713244862854,0.0,0.0,0.9,0.17955921590328217
28,1776.0276436805725,0.028502000756561757,0.0,0.0,0.9,0.17886914312839508
29,1759.0890843868256,0.02654792126500979,0.0,0.0,0.9,0.17818167805671692
30,2213.1337628364563,0.02518479174003005,0.0,0.0,0.9,0.1774968057870865
31,1716.8158829212189,0.03094973580446094,0.0,0.0,0.9,0.1768145114183426
32,3147.1836614608765,0.03380568142049015,0.0,0.0,1.0,0.17613501846790314
33,2025.0924332141876,0.03567263195058331,0.0,0.0,1.0,0.17545826733112335
34,2238.4535331726074,0.03156701803207398,0.0,0.0,1.0,0.1747840791940689
35,2678.876769065857,0.032663916256278756,0.0,0.0,0.9,0.17411242425441742
36,1745.0703165531158,0.03128386015072465,0.0,0.0,1.0,0.1734432876110077
37,1568.811498761177,0.03664162055123597,0.0,0.0,1.0,0.17277665436267853
38,2067.460136413574,0.035587349515408276,0.0,0.0,0.9,0.17211250960826874
39,1761.4873955249786,0.03501303798519075,0.0,0.019999999552965164,1.0,0.1714508980512619
40,2540.466851234436,0.028511226093396545,0.0,0.009999999776482582,1.0,0.17079220712184906
41,1891.1892700195312,0.026373285446316005,0.0,0.0,0.8,0.1701359748840332
42,1856.7927153110504,0.030794350178912282,0.0,0.0,1.0,0.16948218643665314
43,1585.42596077919,0.0312851692782715,0.0,0.0,1.0,0.16883082687854767
44,2698.7470173835754,0.03458489885553718,0.0,0.0,1.0,0.1681818813085556
45,2423.725965499878,0.032267678091302515,0.0,0.0,1.0,0.16753531992435455
46,2224.531087875366,0.03289795894641429,0.0,0.0,1.0,0.16689158976078033
47,2292.699487686157,0.031601101337000725,0.0,0.0,1.0,0.16625039279460907
48,1748.020501613617,0.032747069676406684,0.0,0.14000000059604645,0.9,0.16561155021190643
49,1995.3323969841003,0.03371397605631501,0.0,0.0,1.0,0.16497504711151123
50,2180.1904063224792,0.0,0.0,0.0,1.0,0.16434088349342346
51,2466.1192722320557,0.031972252481199545,0.0,0.0,0.9,0.16370907425880432
52,2207.1660306453705,0.03251259212847799,0.0,0.0,0.9,0.16308020055294037
53,2002.6221015453339,0.03027292656712234,0.0,0.0,1.0,0.16245360672473907
54,2193.7645540237427,0.028844886692240834,0.0,0.0,1.0,0.16182929277420044
55,2155.584158182144,0.027564812642522155,0.0,0.0,0.9,0.16120722889900208
56,1682.6356604099274,0.03386096344795078,0.0,0.0,1.0,0.16058741509914398
57,2610.9553275108337,0.029553300307597966,0.0,0.03999999910593033,0.9,0.1599705070257187
58,1916.0585777759552,0.03532950394786894,0.0,0.0,0.9,0.15935589373111725
59,2230.795777797699,0.031006575366482138,0.0,0.0,1.0,0.1587434858083725
60,2075.206578731537,0.029453969025053085,0.0,0.0,1.0,0.15813325345516205
61,2527.9590306282043,0.03169846168719232,0.0,0.029999999329447746,1.0,0.15752528607845306
62,2590.584469795227,0.031765643595717846,0.0,0.0,1.0,0.15692020952701569
63,2175.0344111919403,0.03179892045911401,0.0,0.0,0.9,0.15631727874279022
64,1510.0889732837677,0.03446621157694608,0.0,0.11999999731779099,1.0,0.15571647882461548
65,1581.5918810367584,0.030739035150036217,0.0,0.0,1.0,0.15511777997016907
66,2466.516110897064,0.029532985044643283,0.0,0.0,1.0,0.15452173352241516
67,2383.488102912903,0.038087068018503485,0.0,0.0,1.0,0.15392811596393585
68,1782.3868653774261,0.03621237507089972,0.0,0.0,1.0,0.1533365696668625
69,1860.0504779815674,0.03523974808398634,0.0,0.0,1.0,0.15274706482887268
70,2101.5019702911377,0.0318471955973655,0.0,0.0,1.0,0.15215995907783508
71,2667.0947136878967,0.03093252608552575,0.0,0.0,1.0,0.1515754759311676
72,3248.5380001068115,0.02734593688044697,0.0,0.0,1.0,0.1509930044412613
73,1687.6579580307007,0.03611796696204692,0.0,0.0,1.0,0.15041251480579376
74,2384.142143726349,0.030903141940943898,0.0,0.0,1.0,0.14983434975147247
75,2623.1618435382843,0.0,0.0,0.0,1.0,0.1492588073015213
76,2335.372755050659,0.027221944221648676,0.0,0.0,1.0,0.14868521690368652
77,2228.566502094269,0.030757604716345668,0.0,0.0,1.0,0.14811356365680695
78,2233.2657704353333,0.031450449833646414,0.0,0.0,1.0,0.14754433929920197
79,2526.162039041519,0.026920466509182006,0.019999999552965164,0.009999999776482582,0.9,0.14697757363319397
