episode,total_reward,loss,ndcg@5,slate_mrr,click_rate
0,1199.1646475195885,0.0,0.0,0.0,0.2
1,613.3377460837364,0.0,0.0,0.0,0.7
2,1930.332393169403,0.008003468355532773,0.0,0.20000000298023224,1.0
3,2311.2507705688477,0.00580843475763686,0.0,0.0,1.0
4,2054.14275765419,0.004981833689962514,0.0,0.0,1.0
5,2302.7141840457916,0.004817950275028124,0.0,0.0,1.0
